ticker,date,estimate,actual,surprise
TCS.NS,2023-10-11,30.96,31.0,0.0012919896640826599
TCS.NS,2023-07-12,29.81,30.26,0.015095605501509657
TCS.NS,2023-04-12,31.62,31.14,-0.015180265654648969
TCS.NS,2023-01-09,30.35,29.64,-0.023393739703459666
TCS.NS,2022-10-10,28.2,28.51,0.01099290780141852
TCS.NS,2022-07-08,27.01,25.9,-0.04109589041095901
TCS.NS,2022-04-11,27.06,26.85,-0.007760532150775954
TCS.NS,2022-01-12,26.87,26.41,-0.017119464086341678
TCS.NS,2021-10-08,26.18,26.02,-0.006111535523300234
TCS.NS,2021-07-08,25.21,24.35,-0.034113447044823456
TCS.NS,2021-04-12,25.09,24.97,-0.004782781984854563
TCS.NS,2021-01-08,22.65,23.19,0.023841059602649126
TCS.NS,2020-10-07,21.08,19.93,-0.05455407969639462
HDFCBANK.NS,2026-07-18,12.52,12.35,-0.01357827476038338
HDFCBANK.NS,2026-04-18,12.42,12.45,0.0024154589371980163
HDFCBANK.NS,2026-01-17,10.49,12.08,0.1515729265967588
HDFCBANK.NS,2025-10-18,11.29,12.09,0.07085916740478307
HDFCBANK.NS,2025-07-19,11.33,11.79,0.04060017652250654
HDFCBANK.NS,2025-04-19,11.28,11.47,0.01684397163120579
HDFCBANK.NS,2025-01-22,10.99,10.9,-0.008189262966333016
HDFCBANK.NS,2024-10-19,10.65,10.99,0.03192488262910797
HDFCBANK.NS,2024-07-20,10.57,10.6,0.002838221381267678
HDFCBANK.NS,2024-04-20,12.3,10.84,-0.11869918699186999
HDFCBANK.NS,2024-01-16,10.28,10.75,0.04571984435797672
HDFCBANK.NS,2023-10-16,9.65,10.51,0.0891191709844559
HDFCBANK.NS,2023-07-17,11.12,10.64,-0.043165467625899165
HDFCBANK.NS,2023-04-15,10.95,10.75,-0.01826484018264834
HDFCBANK.NS,2023-01-14,10.69,10.95,0.024321796071094463
HDFCBANK.NS,2022-10-15,9.68,9.5,-0.018595041322314022
HDFCBANK.NS,2022-07-16,8.19,8.25,0.007326007326007388
HDFCBANK.NS,2022-04-16,9.22,9.0,-0.02386117136659443
HDFCBANK.NS,2022-01-15,8.99,9.25,0.028921023359288072
HDFCBANK.NS,2021-10-16,7.91,7.95,0.00505689001264223
HDFCBANK.NS,2021-07-17,7.29,6.95,-0.04663923182441699
HDFCBANK.NS,2021-04-17,7.4,7.35,-0.0067567567567568525
