Date,Open,High,Low,Close,Volume
2015-01-01 00:00:00+05:30,213.46518232942933,214.22836511751802,212.12961930036911,213.70086669921875,3544940
2015-01-02 00:00:00+05:30,213.33046906716294,217.5728280206573,213.33046906716294,216.6749725341797,5900384
2015-01-05 00:00:00+05:30,217.72998245880964,217.85343486346494,214.3854648770471,214.8456268310547,4796000
2015-01-06 00:00:00+05:30,214.13854931886775,214.71092949367608,210.4461156183527,211.5010986328125,8219680
2015-01-07 00:00:00+05:30,210.9287217994117,213.54371791796157,210.15431863290294,212.11837768554688,5746112
2015-01-08 00:00:00+05:30,214.19466290134008,217.4942847607382,212.83665913306953,216.573974609375,9525824
2015-01-09 00:00:00+05:30,218.38093898200418,219.97462722981786,216.9668054182323,218.9982147216797,8985184
2015-01-12 00:00:00+05:30,217.59530843958493,218.71762793081407,216.4954298581047,217.06781005859375,4126412
2015-01-13 00:00:00+05:30,217.49431081796683,218.16770255565586,214.52016397650695,216.2373046875,5828348
2015-01-14 00:00:00+05:30,215.49653889959632,218.7737196710746,215.41798202398795,216.36073303222656,3685232
2015-01-15 00:00:00+05:30,222.21926379244545,224.05987053561265,217.8983336631479,222.92633056640625,11398476
2015-01-16 00:00:00+05:30,224.9577092614707,227.8084033533565,224.1384105975965,224.76690673828125,7821308
2015-01-19 00:00:00+05:30,227.43803756643888,228.9531688307601,225.12606222906797,225.48519897460938,4239492
2015-01-20 00:00:00+05:30,226.70854510112096,230.52443150381308,224.91283385279525,229.1664276123047,8505804
2015-01-21 00:00:00+05:30,230.6142297172353,231.8599879942705,228.5828203442487,228.9419708251953,6740612
2015-01-22 00:00:00+05:30,230.07547366867158,231.758952744296,228.62767892359702,229.23373413085938,6470680
2015-01-23 00:00:00+05:30,231.19780464255805,235.23815462660275,229.94081234981954,234.07095336914062,9987912
2015-01-27 00:00:00+05:30,234.1158641902626,241.91598526467453,233.64449544713682,241.08547973632812,9962400
2015-01-28 00:00:00+05:30,240.17636542340296,245.3839167789743,236.80940702961692,237.5613555908203,11364940
2015-01-29 00:00:00+05:30,241.29873092860393,247.04500220366435,238.1562358281384,245.7880096435547,20567616
2015-01-30 00:00:00+05:30,245.68693630565684,245.68693630565684,238.88567018314004,241.82614135742188,10570416
2015-02-02 00:00:00+05:30,239.83966465170516,245.3390299151275,236.21456737553706,242.78013610839844,5710352
2015-02-03 00:00:00+05:30,242.08430576508925,242.91481119931095,236.8767544686337,238.85202026367188,10200688
2015-02-04 00:00:00+05:30,238.60514103597765,242.60060967293163,237.314473528022,239.6601104736328,6197512
2015-02-05 00:00:00+05:30,241.2986953813311,245.29416380919207,240.2549327537919,241.63539123535156,8059148
2015-02-06 00:00:00+05:30,241.7476033055505,242.18529691963002,235.69831258595684,236.4727020263672,6903120
2015-02-09 00:00:00+05:30,235.01371122747622,236.07991478844139,232.2079123828311,233.46490478515625,5231896
2015-02-10 00:00:00+05:30,231.19781231976555,238.44800710314817,231.19781231976555,236.68594360351562,9275752
2015-02-11 00:00:00+05:30,237.48282552976426,239.00919113415318,236.36050593841375,237.57261657714844,4161588
2015-02-12 00:00:00+05:30,239.07651589068038,242.84752070965231,236.29315780052312,241.52317810058594,5525740
2015-02-13 00:00:00+05:30,242.690364818937,242.86994690434145,238.7398055434524,239.233642578125,7714500
2015-02-16 00:00:00+05:30,241.47823064668066,243.5432871908221,238.49285035967603,239.62640380859375,7388716
2015-02-18 00:00:00+05:30,239.6264362393066,243.0831582179314,237.26956539912945,241.25379943847656,5381692
2015-02-19 00:00:00+05:30,241.07419722211483,243.5208588937364,238.78467670026703,242.3760986328125,4507004
2015-02-20 00:00:00+05:30,243.0943972169267,244.64320356569732,239.83967075372684,240.86099243164062,6206024
2015-02-23 00:00:00+05:30,241.7700517328792,242.76893248895155,238.38065245581456,239.61520385742188,5581564
2015-02-24 00:00:00+05:30,240.2437453926578,240.40085917706557,237.28080519786593,239.64891052246094,5846288
2015-02-25 00:00:00+05:30,240.1763981050075,241.25383589778062,235.68711963575504,236.23704528808594,4648524
2015-02-26 00:00:00+05:30,236.50636594479823,237.03385056778598,232.34255012855684,233.0271759033203,12426944
2015-02-27 00:00:00+05:30,234.66575327847133,237.60625203795718,234.66575327847133,236.58493041992188,10261784
2015-03-02 00:00:00+05:30,242.4995864060063,246.68584392354748,239.72746252079045,242.99342346191406,14385232
2015-03-03 00:00:00+05:30,243.86882158252465,245.11460733269234,241.75888259721884,243.17298889160156,6029348
2015-03-04 00:00:00+05:30,248.03258879288475,248.99779444245547,237.93171413616093,239.1213836669922,12277624
2015-03-05 00:00:00+05:30,239.05406157727987,244.6656592668874,238.49290180831912,243.56578063964844,9702452
2015-03-09 00:00:00+05:30,241.75881327935286,242.8250166227596,237.0338380289483,237.7072296142578,5755808
2015-03-10 00:00:00+05:30,238.3806330885858,238.43674905682698,234.56474724818472,236.25946044921875,5134836
2015-03-11 00:00:00+05:30,235.88912943012332,238.35823244986878,235.68710643025,237.1348876953125,5465536
2015-03-12 00:00:00+05:30,237.95415584326608,238.80712955507084,235.93398090513753,236.7196044921875,7530836
2015-03-13 00:00:00+05:30,237.93172018040624,238.82957572825683,232.23033197147964,234.0372772216797,5426780
2015-03-16 00:00:00+05:30,234.56478461738843,237.46037452001391,234.0036248455765,236.0350341796875,5348772
2015-03-17 00:00:00+05:30,237.9317274462691,239.25606989986633,234.08216618722798,237.49403381347656,5369304
2015-03-18 00:00:00+05:30,237.96537875848827,240.60282924759014,236.40533841194346,238.7285614013672,5148332
