Date,Open,High,Low,Close,Volume
2015-01-01 00:00:00+05:30,273.56791505461354,275.8005756937015,272.035689634093,274.9250183105469,6138488
2015-01-02 00:00:00+05:30,275.23144346875307,278.6898787827493,275.23144346875307,276.0194396972656,9935094
2015-01-05 00:00:00+05:30,276.8950171893735,277.3765630530511,273.2614594619337,273.83056640625,9136716
2015-01-06 00:00:00+05:30,271.42275414686475,272.38587248942787,261.52896766753076,262.5796203613281,15329257
2015-01-07 00:00:00+05:30,262.6671946958486,264.8998551628078,258.4207363709546,262.79852294921875,15046745
2015-01-08 00:00:00+05:30,267.0449940311282,268.35833006734686,264.72477237778656,266.9136657714844,8939749
2015-01-09 00:00:00+05:30,268.5334448071301,269.54033039643247,264.4183146527247,265.468994140625,11953948
2015-01-12 00:00:00+05:30,266.300762126888,269.4965411040301,263.6303229026751,268.8836669921875,8536142
2015-01-13 00:00:00+05:30,269.80297692151885,272.0794312477788,266.3007477180076,267.1325378417969,9484804
2015-01-14 00:00:00+05:30,266.16944776907195,268.7961199510036,264.63722232961186,266.7823486328125,8855660
2015-01-15 00:00:00+05:30,280.0907614447405,283.4178950565325,274.92497896735676,280.44097900390625,30729523
2015-01-16 00:00:00+05:30,280.1783863384964,280.4410428877315,274.1370452270512,276.1946105957031,21598514
2015-01-19 00:00:00+05:30,277.15764500943766,278.3834465716575,273.6116487298538,274.1807556152344,9975658
2015-01-20 00:00:00+05:30,274.9250357237443,280.0032581797291,274.9250357237443,278.55859375,13104643
2015-01-21 00:00:00+05:30,280.09084417293207,286.83264773766473,279.30284775209327,285.60687255859375,22617660
2015-01-22 00:00:00+05:30,286.2196989067028,286.832599753654,281.7543509757609,284.24969482421875,12232626
2015-01-23 00:00:00+05:30,287.4016986160705,291.16658451318426,284.24968682877847,286.7012634277344,17127278
2015-01-27 00:00:00+05:30,288.408554261418,290.81633671106835,282.45477561932813,288.9776611328125,13734088
2015-01-28 00:00:00+05:30,289.28407508780776,294.18720043910287,287.35786540257715,292.96142578125,19428852
2015-01-29 00:00:00+05:30,291.38550393360265,292.08596591414766,284.6437277101715,286.3072814941406,14911660
2015-01-30 00:00:00+05:30,287.7957057982487,289.3716983083414,268.7961010004866,270.5034484863281,30252827
2015-02-02 00:00:00+05:30,270.98500142911587,273.0863337375769,267.132554410289,269.23388671875,17639807
2015-02-03 00:00:00+05:30,273.1739026425195,273.1739026425195,261.83542388013814,262.92987060546875,23743882
2015-02-04 00:00:00+05:30,265.0312112758759,265.25010060573044,255.57517619422484,256.5820617675781,21477507
2015-02-05 00:00:00+05:30,256.66962561369274,260.7409618489514,253.21119019659744,254.612060546875,15722348
2015-02-06 00:00:00+05:30,254.78717142091236,258.15807233179896,250.14672847130456,254.1742706298828,15985714
2015-02-09 00:00:00+05:30,253.47388200299258,256.3632109026343,243.40497131893588,244.7183074951172,17088719
2015-02-10 00:00:00+05:30,242.96717110961407,254.612073487452,241.39117852550794,251.54762268066406,22589681
2015-02-11 00:00:00+05:30,254.61204729277276,256.97606264561085,248.3956119573241,250.36561584472656,17366588
2015-02-12 00:00:00+05:30,252.94848236129178,253.0360434296392,243.667570234082,248.92091369628906,20957180
2015-02-13 00:00:00+05:30,252.1604980961685,269.6278766209936,249.84027663474728,268.7523193359375,70540056
2015-02-16 00:00:00+05:30,271.9480537414507,274.18071376635487,266.7822719458746,268.53338623046875,21372131
2015-02-18 00:00:00+05:30,268.6210203050029,269.5841388631024,264.41835514952413,267.6579284667969,13472484
2015-02-19 00:00:00+05:30,268.00813282034585,269.05878569717123,259.86543274551536,264.72479248046875,17762135
2015-02-20 00:00:00+05:30,264.3307516514933,268.35832069927756,260.0842932719804,264.68096923828125,15792502
2015-02-23 00:00:00+05:30,265.4689612969167,266.6947360678885,257.7640416853055,259.646484375,12440505
2015-02-24 00:00:00+05:30,259.95295699861856,261.7916326724024,255.75029264701695,259.38385009765625,15046698
2015-02-25 00:00:00+05:30,261.7916491388064,263.2363134305442,258.2894197188893,258.7709655761719,12845169
2015-02-26 00:00:00+05:30,260.04045440400614,260.04045440400614,252.20420780051182,253.38621520996094,18707345
2015-02-27 00:00:00+05:30,255.00605530733665,263.54273870389125,253.9991697891564,262.5796203613281,18316053
2015-03-02 00:00:00+05:30,267.8330034790376,267.8330034790376,259.77789142606963,264.4183349609375,15085595
2015-03-03 00:00:00+05:30,265.7316608369622,267.39521448998653,262.4045535309135,264.94366455078125,14387971
2015-03-04 00:00:00+05:30,274.925006934869,275.8005642817953,255.6627453024896,257.28253173828125,38674148
2015-03-05 00:00:00+05:30,258.07049856874835,259.38383443932725,253.69271233348547,257.23870849609375,16803823
2015-03-09 00:00:00+05:30,255.6627358681246,257.41385049735834,252.77340741784442,254.48072814941406,13199803
2015-03-10 00:00:00+05:30,254.5683030815644,256.7571964872528,249.62140932868658,251.810302734375,14064427
2015-03-11 00:00:00+05:30,252.64209695941716,254.69966235528057,248.43943179671643,249.6652069091797,16329314
2015-03-12 00:00:00+05:30,252.29183932947876,253.4300798905655,250.4969574906929,251.15362548828125,9969794
2015-03-13 00:00:00+05:30,253.91166598692817,254.83099064133725,245.15609129772375,245.81275939941406,13414248
2015-03-16 00:00:00+05:30,246.46942550888184,248.5269908881922,245.15608931611695,246.6007537841797,15132928
2015-03-17 00:00:00+05:30,248.57073551090855,248.65829659312374,244.71828837245803,247.87030029296875,11350496
2015-03-18 00:00:00+05:30,248.74585511782084,252.55453503594967,246.90717928977,251.54762268066406,12394230
2015-03-19 00:00:00+05:30,253.91162191929337,254.17427842642675,245.68138848381818,246.55694580078125,11046649
2015-03-20 00:00:00+05:30,246.73202742781467,247.25736713257803,242.3542410879323,243.62380981445312,11482652
2015-03-23 00:00:00+05:30,244.6307391471961,245.15607894605893,239.50872286809465,240.5594024658203,13058026
2015-03-24 00:00:00+05:30,239.727595736674,242.004050228585,235.52493107460006,236.8820343017578,17585259
2015-03-25 00:00:00+05:30,238.06404781134282,238.23916997642706,232.02270719440997,232.3729248046875,15824629
2015-03-26 00:00:00+05:30,231.58492263945368,232.8106976043423,223.44223648713603,224.7117919921875,22253318
2015-03-27 00:00:00+05:30,227.51358074271218,231.9789285324609,224.14267963084845,230.7969207763672,19423101
2015-03-30 00:00:00+05:30,232.11024831471082,235.8313668836494,230.4029008715953,234.56179809570312,12303870
2015-03-31 00:00:00+05:30,235.43733689996358,237.582462829635,232.89822624354136,233.8175506591797,19482636
2015-04-01 00:00:00+05:30,233.4673669581822,240.47182590593124,230.402916168542,239.42117309570312,12383589
2015-04-06 00:00:00+05:30,241.1722789174173,241.4349354302923,237.45116023898123,240.47181701660156,12925445
2015-04-07 00:00:00+05:30,241.04087324383696,241.96022428531458,236.66308748408778,238.1953125,12933524
2015-04-08 00:00:00+05:30,238.06401001843145,242.83580770059402,238.02024284405394,239.81512451171875,9913899
2015-04-09 00:00:00+05:30,240.77826804027822,246.73204725295477,238.5893746944575,245.90028381347656,13471276
2015-04-10 00:00:00+05:30,246.03163869195305,251.59143373590982,245.19984844258204,250.19053649902344,16880558
2015-04-13 00:00:00+05:30,251.98536345032082,252.59826420740953,248.08914975704315,250.67202758789062,11985436
2015-04-15 00:00:00+05:30,251.63513648909807,257.80783084365703,250.3655945681485,253.91159057617188,17289500
2015-04-16 00:00:00+05:30,254.13049667359434,257.6327257405862,250.8471569232895,256.012939453125,15043998
2015-04-17 00:00:00+05:30,254.78719488697985,258.20186328890975,253.21120230759388,255.44386291503906,16819018
2015-04-20 00:00:00+05:30,254.78715651809966,256.8447213734774,249.40248484288,251.85403442382812,13788536
2015-04-21 00:00:00+05:30,251.63516246998248,255.66273139066234,246.68826907301067,253.211181640625,15487948
2015-04-22 00:00:00+05:30,254.39316494847074,256.75718036614,241.12847708683202,248.52694702148438,17741741
2015-04-23 00:00:00+05:30,249.53387874414642,251.63521132643422,241.87275088796648,243.09852600097656,13874710
2015-04-24 00:00:00+05:30,243.71137254150568,244.8058191339142,240.20914344579845,241.25979614257812,10049508
2015-04-27 00:00:00+05:30,242.13534445359187,242.13534445359187,232.98578731167038,233.8175506591797,12394191
2015-04-28 00:00:00+05:30,233.77382039761324,239.46494336609447,232.15403390106735,238.58938598632812,12693457
2015-04-29 00:00:00+05:30,238.37047627962542,239.37736183636974,236.00646086823573,238.06402587890625,8217676
